pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count
-73.959462,40.774177,-74.003285,40.736277,1
-73.948022,40.782307,-73.976485,40.754654,1
-73.979287,40.753189,-73.978623,40.751043,1
-73.990263,40.737835,-73.985262,40.745045,1
-73.999893,40.733314,-74.000802,40.736038,1
-73.989717,40.762078,-74.005612,40.746907,5
-73.989897,40.729245,-73.916493,40.756628,2
-73.965725,40.754467,-73.970222,40.761302,1
-73.977333,40.754388,-73.984738,40.748471,1
-73.992383,40.694105,-74.000462,40.72575,1
-73.978897,40.75395,-73.984942,40.742305,1
-73.981563,40.7798,-73.982117,40.769045,1
-73.995025,40.725113,-73.97909,40.751075,1
-73.780596,40.645289,-73.993754,40.745862,1
-73.989527,40.771215,-73.958289,40.810816,1
-73.982345,40.76676,-73.99035,40.756642,2
-73.9576187133789,40.71780776977539,-73.98885345458984,40.726768493652344,1
-73.972125,40.757181,-73.995458,40.727047,1
-73.990757,40.754365,-73.983352,40.741367,1
-73.897522,40.754321,-73.917049,40.770755,1
-73.971517,40.756892,-73.984947,40.739147,1
-73.985908,40.759103,-73.985371,40.768619,3
-73.996678,40.755092,-73.981932,40.740858,1
-73.99139,40.744709,-73.95308,40.805142,2
-73.870852,40.773737,-73.918643,40.7387,2
-73.994322,40.739695,-73.978975,40.749683,2
-73.987405,40.733125,-73.97257,40.677282,1
-73.980495,40.770268,-73.976327,40.76416,1
-73.983808,40.74997,-73.993275,40.741342,1
-73.974955,40.790493,-73.976183,40.775994,1
-73.98220825195312,40.7753791809082,-73.96958923339844,40.7613410949707,6
-73.974318,40.742592,-73.981092,40.735045,1
-73.99989,40.726827,-74.007827,40.713582,5
-73.998347,40.722717,-73.997885,40.733827,5
-73.994397,40.750311,-73.989343,40.768178,1
-73.993333,40.74209,-73.969658,40.763736,1
-74.00878143310547,40.72591018676758,-73.9951171875,40.74470901489258,2
-73.977572,40.750018,-73.979057,40.74969,1
-73.98883,40.765093,-73.995142,40.698118,4
-74.014478,40.714233,-73.989122,40.740425,6
-73.870658,40.773597,-73.962293,40.657415,1
-73.972172,40.764717,-73.98755,40.754987,2
-73.982615,40.75219,-73.990012,40.756947,5
